nazwa rozwiazania,liczba filozofow,numer filozofa,sredni czas oczekiwania
Rozwiązanie z możliwością zagłodzenia,30,14,440.900529
Rozwiązanie z możliwością zagłodzenia,30,18,442.91190900000004
Rozwiązanie z możliwością zagłodzenia,30,9,436.23118
Rozwiązanie z możliwością zagłodzenia,30,21,439.002682
Rozwiązanie z możliwością zagłodzenia,30,16,441.026429
Rozwiązanie z możliwością zagłodzenia,30,20,443.715105
Rozwiązanie z możliwością zagłodzenia,30,4,447.468125
Rozwiązanie z możliwością zagłodzenia,30,12,442.828695
Rozwiązanie z możliwością zagłodzenia,30,27,444.71080800000004
Rozwiązanie z możliwością zagłodzenia,30,25,439.510224
Rozwiązanie z możliwością zagłodzenia,30,10,444.079981
Rozwiązanie z możliwością zagłodzenia,30,22,445.468252
Rozwiązanie z możliwością zagłodzenia,30,6,446.618985
Rozwiązanie z możliwością zagłodzenia,30,29,436.94729
Rozwiązanie z możliwością zagłodzenia,30,24,446.045282
Rozwiązanie z możliwością zagłodzenia,30,8,445.309736
Rozwiązanie z możliwością zagłodzenia,30,28,446.927311
Rozwiązanie z możliwością zagłodzenia,30,2,434.602971
Rozwiązanie z możliwością zagłodzenia,30,0,447.780078
Rozwiązanie z możliwością zagłodzenia,30,1,449.146663
Rozwiązanie asymetryczne,30,3,397.928001
Rozwiązanie asymetryczne,30,5,397.910127
Rozwiązanie asymetryczne,30,2,403.12146
Rozwiązanie asymetryczne,30,16,403.24456100000003
Rozwiązanie asymetryczne,30,14,403.148535
Rozwiązanie asymetryczne,30,12,403.100137
Rozwiązanie asymetryczne,30,4,403.125466
Rozwiązanie asymetryczne,30,6,402.863639
Rozwiązanie asymetryczne,30,20,403.30966
Rozwiązanie asymetryczne,30,8,402.87190300000003
Rozwiązanie asymetryczne,30,0,402.96061199999997
Rozwiązanie asymetryczne,30,28,402.92697
Rozwiązanie asymetryczne,30,19,408.07148
Rozwiązanie asymetryczne,30,11,408.083779
Rozwiązanie asymetryczne,30,21,407.99240599999996
Rozwiązanie asymetryczne,30,7,407.956957
Rozwiązanie asymetryczne,30,29,407.915419
Rozwiązanie asymetryczne,30,1,408.136061
Rozwiązanie asymetryczne,30,25,408.09978
Rozwiązanie asymetryczne,30,13,407.89249300000006
